subject_id,channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
1,27,O1,0.13791983800000002,0.03827877236908755,0.076765376,0.14963643799999998,5,0.8,0.4,0.338987706
1,21,Pz,0.135622256,0.024472950637320582,0.016045906,0.141092456,5,0.8,0.4,0.338987706
1,16,T4,0.126122372,0.006881337639534196,-0.006892586000000001,0.153092804,5,0.8,0.4,0.338987706
1,13,C3,0.12207557,0.018662935587728427,0.050863123999999996,0.126513548,5,0.8,0.4,0.338987706
1,15,T3,0.12034549800000001,0.014722573523812673,0.12034549800000001,0.13081454799999997,5,0.8,0.4,0.338987706
1,28,O2,0.117801978,0.03634253355996276,-0.005941842000000001,0.125539788,5,0.8,0.4,0.338987706
1,4,F4,0.11662051999999998,0.02727220845317628,0.011882101999999999,0.133065484,5,0.8,0.4,0.338987706
1,17,CP3,0.11249667599999999,0.01907978009853704,0.021193642000000002,0.131168136,5,0.8,0.4,0.338987706
1,19,TP7,0.11045981600000002,0.06144372514670664,-0.048862848,0.12232093800000002,5,0.8,0.4,0.338987706
1,0,Fp1,0.105307416,0.01670800774346331,-0.083367478,0.11498873800000001,5,0.8,0.4,0.338987706
1,18,CP4,0.103426676,0.01777020538800073,0.043047012,0.127301848,5,0.8,0.4,0.338987706
1,7,FCz,0.103421228,0.0066235733835460775,0.098491676,0.12400916,5,0.8,0.4,0.338987706
1,22,P3,0.102968472,0.018247395258766935,0.066253244,0.115767866,5,0.8,0.4,0.338987706
1,2,Fz,0.09988193599999999,0.01878197028167252,-0.068395168,0.11087613599999999,5,0.8,0.4,0.338987706
1,24,T5,0.097776964,0.022219205035170143,0.05453298399999999,0.11013314,5,0.8,0.4,0.338987706
1,23,P4,0.09628043,0.028747511856382458,-0.07745991,0.111651192,5,0.8,0.4,0.338987706
1,14,C4,0.094353746,0.028541907860219855,-0.063914828,0.10603674199999999,5,0.8,0.4,0.338987706
1,10,FT7,0.08645612,0.013275139212051599,-0.013698534000000002,0.10549072,5,0.8,0.4,0.338987706
1,20,TP8,0.08433531400000001,0.0067807931809140114,-0.039752362,0.099517272,5,0.8,0.4,0.338987706
1,12,Cz,0.082660698,0.008269367054189822,0.075827328,0.10097561800000002,5,0.8,0.4,0.338987706
1,26,Oz,0.080957668,0.00422753738071232,0.021154748,0.08482922600000001,5,0.8,0.4,0.338987706
1,3,F3,0.07777868800000001,0.014219672439012792,-4.204400000000011e-05,0.09008680799999999,5,0.8,0.4,0.338987706
1,9,FC4,0.073500644,0.027491234634419028,-0.03813773,0.090984026,5,0.8,0.4,0.338987706
1,5,F7,0.073148692,0.01589421091352981,0.065515934,0.083738778,5,0.8,0.4,0.338987706
1,1,Fp2,0.07194718200000001,0.020626501791791308,0.05526812800000001,0.08600801799999999,5,0.8,0.4,0.338987706
1,25,T6,0.07029221599999999,0.01609143454699518,-0.058806343999999997,0.085287732,5,0.8,0.4,0.338987706
1,11,FT8,0.06742231800000001,0.01881066598581427,-0.011952062,0.082564042,5,0.8,0.4,0.338987706
1,6,F8,0.064897658,0.017673026558591202,-0.009400282,0.06847761999999999,5,0.8,0.4,0.338987706
1,8,FC3,0.049241248,0.02553646526274085,-0.009569794000000001,0.058990600000000004,5,0.8,0.4,0.338987706
