subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
3,1,0.875,0.875,"[3, 5]",0.625,False,1,1.37209347,0.35165681,1.14965847,True,0.77160761,0.75392815,2170
3,2,0.375,0.375,"[3, 5]",0.625,False,1,1.06456087,0.25498854,0.89198108,True,0.6984622,0.87265912,2170
3,3,0.5,0.5,"[2, 6]",0.75,False,1,0.8642714,0.19736829,0.72416126,True,0.57682479,0.96935313,2170
3,4,0.75,0.75,"[4, 4]",0.5,False,0,1.37141281,0.3474267,1.14908815,True,0.80767416,0.58663339,2170
3,5,0.75,0.75,"[6, 2]",0.75,False,0,1.4099864,0.39640784,1.18140844,True,0.72630229,0.74687019,2170
4,1,0.375,0.375,"[1, 7]",0.875,False,1,0.01282527,0.00225811,0.01074612,True,0.50507342,0.9998967,2170
4,2,0.75,0.75,"[2, 6]",0.75,False,1,0.6607584,0.18457625,0.55364048,True,0.56158736,0.98161376,2170
4,3,0.625,0.625,"[3, 5]",0.625,False,1,1.5154046,0.38269916,1.26973692,True,0.90236117,0.30933235,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,1.04165183,0.31940459,0.87278591,True,0.66816711,0.87825775,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01449593,0.00221307,0.01214594,True,0.50767837,0.99981509,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01276742,0.00230368,0.01069765,True,0.50581512,0.99988769,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01234029,0.00217542,0.01033976,True,0.50578658,0.99988757,2170
5,3,0.375,0.375,"[5, 3]",0.625,False,0,1.13784476,0.25688838,0.95338466,True,0.75343739,0.74060317,2170
5,4,0.5,0.5,"[2, 6]",0.75,False,1,0.12540746,0.02707909,0.10507721,True,0.50519039,0.99991672,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01313799,0.00227103,0.01100814,True,0.50749936,0.99982319,2170
6,1,0.25,0.25,"[2, 6]",0.75,False,1,0.72371725,0.1853134,0.60639284,True,0.5610366,0.98212588,2170
6,2,0.75,0.75,"[6, 2]",0.75,False,0,0.74809723,0.20770947,0.6268205,True,0.64287397,0.9131012,2170
6,3,0.5,0.5,"[6, 2]",0.75,False,0,0.99890691,0.29555923,0.83697052,True,0.66328562,0.89898377,2170
6,4,0.5,0.5,"[0, 8]",1.0,True,1,0.03032888,0.00655729,0.02541216,True,0.50726831,0.99979127,2170
6,5,0.25,0.25,"[4, 4]",0.5,False,0,0.75490799,0.22389571,0.63252715,True,0.63243463,0.92065871,2170
7,1,0.75,0.75,"[4, 4]",0.5,False,0,1.14587358,0.27522081,0.9601119,True,0.87476342,0.4588588,2170
7,2,0.375,0.375,"[7, 1]",0.875,False,0,0.57058786,0.14402272,0.47808781,True,0.57711182,0.97481192,2170
7,3,0.875,0.875,"[3, 5]",0.625,False,1,0.76017645,0.17931032,0.63694151,True,0.60393533,0.95715721,2170
7,4,0.375,0.375,"[3, 5]",0.625,False,1,1.28686813,0.46637365,1.07824931,True,0.66695846,0.88426103,2170
7,5,0.625,0.625,"[3, 5]",0.625,False,1,0.670718,0.16396111,0.5619855,True,0.58548142,0.96804037,2170
8,1,0.625,0.625,"[5, 3]",0.625,False,0,0.75620047,0.260876,0.63361009,True,0.69179194,0.87166186,2170
8,2,0.75,0.75,"[4, 4]",0.5,False,0,0.61471202,0.20429149,0.51505884,True,0.61339255,0.95596166,2170
8,3,0.5,0.5,"[0, 8]",1.0,True,1,0.01441025,0.00229828,0.01207415,True,0.50546867,0.99988996,2170
8,4,0.625,0.625,"[1, 7]",0.875,False,1,0.26953308,0.07399628,0.22583811,True,0.54031466,0.99367187,2170
8,5,0.5,0.5,"[6, 2]",0.75,False,0,0.61578057,0.20700189,0.51595417,True,0.63911862,0.9241277,2170
9,1,0.625,0.625,"[1, 7]",0.875,False,1,0.1530353,0.03873243,0.1282262,True,0.51072582,0.9994814,2170
9,2,0.5,0.5,"[4, 4]",0.5,False,0,0.44723226,0.10742446,0.37472983,True,0.53316316,0.99505614,2170
9,3,0.25,0.25,"[2, 6]",0.75,False,1,0.25121529,0.05172636,0.21048988,True,0.51488935,0.99874515,2170
9,4,0.625,0.625,"[1, 7]",0.875,False,1,0.08696231,0.01850352,0.07286454,True,0.50385056,0.99994201,2170
9,5,0.25,0.25,"[4, 4]",0.5,False,0,0.87049556,0.21459749,0.7293764,True,0.59889798,0.95970347,2170
10,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01327101,0.00223924,0.0111196,True,0.50750455,0.99981715,2170
10,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01006779,0.00182238,0.00843567,True,0.5080996,0.9997879,2170
10,3,0.375,0.375,"[3, 5]",0.625,False,1,1.34489031,0.40315506,1.12686531,True,0.75844422,0.76104987,2170
10,4,0.5,0.5,"[4, 4]",0.5,False,0,1.53740237,0.56018585,1.28816855,True,0.7684173,0.71097059,2170
10,5,0.5,0.5,"[4, 4]",0.5,False,0,0.76503244,0.19762287,0.64101028,True,0.55781926,0.98698477,2170
