subject_id,fold_id,cv_scheme,branches,fusion,twfb_classifier,n_train,n_test,y_test_counts,selected_window_idx,selected_band_idx,selected_inner_score,accuracy,balanced_accuracy,left_recall,right_recall,confusion_matrix,collapse_flag,collapse_ratio,pred_counts
3,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",5,3,0.8125,0.75,0.75,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]"
3,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,0,0.8125,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
3,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,1,0.84375,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
3,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,3,0.78125,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
3,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",4,8,0.75,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
4,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,3,0.78125,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
4,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,2,0.90625,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
4,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,2,0.78125,0.75,0.75,1.0,0.5,"[[4, 0], [2, 2]]",False,0.75,"[6, 2]"
4,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,2,0.8125,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
4,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,2,0.8125,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
5,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,3,0.75,0.75,0.75,0.5,1.0,"[[2, 2], [0, 4]]",False,0.75,"[2, 6]"
5,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",4,10,0.8125,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
5,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",4,9,0.8125,0.875,0.875,1.0,0.75,"[[4, 0], [1, 3]]",False,0.625,"[5, 3]"
5,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",4,9,0.875,0.75,0.75,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]"
5,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,6,0.78125,0.75,0.75,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]"
6,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,12,0.75,0.75,0.75,1.0,0.5,"[[4, 0], [2, 2]]",False,0.75,"[6, 2]"
6,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,5,0.75,0.75,0.75,0.5,1.0,"[[2, 2], [0, 4]]",False,0.75,"[2, 6]"
6,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,5,0.71875,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
6,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,5,0.75,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
6,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,10,0.71875,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
7,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,12,0.875,0.75,0.75,1.0,0.5,"[[4, 0], [2, 2]]",False,0.75,"[6, 2]"
7,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,17,0.8125,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
7,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,15,0.75,1.0,1.0,1.0,1.0,"[[4, 0], [0, 4]]",False,0.5,"[4, 4]"
7,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,14,0.90625,0.75,0.75,0.5,1.0,"[[2, 2], [0, 4]]",False,0.75,"[2, 6]"
7,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,14,0.875,0.75,0.75,0.5,1.0,"[[2, 2], [0, 4]]",False,0.75,"[2, 6]"
8,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,0,0.8125,0.125,0.125,0.25,0.0,"[[1, 3], [4, 0]]",False,0.625,"[5, 3]"
8,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,18,0.78125,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
8,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,17,0.78125,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
8,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",4,6,0.71875,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
8,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,5,0.875,0.375,0.375,0.75,0.0,"[[3, 1], [4, 0]]",False,0.875,"[7, 1]"
9,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",4,13,0.8125,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
9,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,8,0.8125,0.75,0.75,0.5,1.0,"[[2, 2], [0, 4]]",False,0.75,"[2, 6]"
9,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,8,0.75,0.625,0.625,0.25,1.0,"[[1, 3], [0, 4]]",False,0.875,"[1, 7]"
9,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,8,0.875,0.75,0.75,1.0,0.5,"[[4, 0], [2, 2]]",False,0.75,"[6, 2]"
9,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,6,0.78125,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
10,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,3,0.71875,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
10,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,11,0.71875,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
10,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",5,17,0.71875,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
10,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,7,0.75,0.0,0.0,0.0,0.0,"[[0, 4], [4, 0]]",False,0.5,"[4, 4]"
10,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",5,18,0.75,0.75,0.75,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]"
11,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,15,0.84375,0.25,0.25,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]"
11,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,8,0.84375,0.25,0.25,0.5,0.0,"[[2, 2], [4, 0]]",False,0.75,"[6, 2]"
11,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,9,0.75,0.375,0.375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]"
11,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,0,0.8125,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
11,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,13,0.75,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
12,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,4,0.75,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
12,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,12,0.75,0.625,0.625,1.0,0.25,"[[4, 0], [3, 1]]",False,0.875,"[7, 1]"
12,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,5,0.75,0.875,0.875,0.75,1.0,"[[3, 1], [0, 4]]",False,0.625,"[3, 5]"
12,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",5,18,0.8125,0.75,0.75,0.5,1.0,"[[2, 2], [0, 4]]",False,0.75,"[2, 6]"
12,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,3,0.71875,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
13,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,0,0.75,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
13,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,12,0.78125,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
13,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,17,0.8125,0.5,0.5,0.0,1.0,"[[0, 4], [0, 4]]",True,1.0,"[0, 8]"
13,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,3,0.75,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
13,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,14,0.75,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
14,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,5,0.78125,0.625,0.625,0.25,1.0,"[[1, 3], [0, 4]]",False,0.875,"[1, 7]"
14,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,15,0.78125,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
14,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,7,0.8125,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
14,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,6,0.78125,0.75,0.75,0.75,0.75,"[[3, 1], [1, 3]]",False,0.5,"[4, 4]"
14,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,1,0.71875,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
15,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,16,0.78125,0.375,0.375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]"
15,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",5,12,0.875,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
15,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",4,16,0.78125,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
15,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",5,11,0.8125,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
15,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",5,13,0.78125,0.75,0.75,1.0,0.5,"[[4, 0], [2, 2]]",False,0.75,"[6, 2]"
16,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",5,16,0.71875,0.375,0.375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]"
16,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,15,0.78125,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
16,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,6,0.8125,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
16,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,11,0.75,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
16,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",5,15,0.78125,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
17,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,3,0.75,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
17,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,0,0.78125,0.25,0.25,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]"
17,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,17,0.8125,0.375,0.375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]"
17,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",5,1,0.75,0.375,0.375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]"
17,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,16,0.84375,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
18,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,3,0.84375,0.25,0.25,0.5,0.0,"[[2, 2], [4, 0]]",False,0.75,"[6, 2]"
18,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",4,2,0.8125,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
18,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",4,1,0.78125,0.875,0.875,1.0,0.75,"[[4, 0], [1, 3]]",False,0.625,"[5, 3]"
18,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,2,0.8125,0.75,0.75,0.5,1.0,"[[2, 2], [0, 4]]",False,0.75,"[2, 6]"
18,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,5,0.75,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
19,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,2,0.75,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
19,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,15,0.8125,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
19,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,16,0.78125,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
19,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,17,0.75,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
19,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",4,14,0.84375,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
20,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,4,0.8125,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
20,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,17,0.90625,0.875,0.875,1.0,0.75,"[[4, 0], [1, 3]]",False,0.625,"[5, 3]"
20,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,17,0.875,0.875,0.875,0.75,1.0,"[[3, 1], [0, 4]]",False,0.625,"[3, 5]"
20,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,17,0.875,1.0,1.0,1.0,1.0,"[[4, 0], [0, 4]]",False,0.5,"[4, 4]"
20,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,18,0.9375,0.875,0.875,1.0,0.75,"[[4, 0], [1, 3]]",False,0.625,"[5, 3]"
21,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,12,0.78125,0.25,0.25,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]"
21,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,6,0.71875,0.75,0.75,0.5,1.0,"[[2, 2], [0, 4]]",False,0.75,"[2, 6]"
21,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,6,0.75,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
21,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,6,0.71875,0.75,0.75,1.0,0.5,"[[4, 0], [2, 2]]",False,0.75,"[6, 2]"
21,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,13,0.71875,0.375,0.375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]"
22,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,8,0.78125,0.75,0.75,1.0,0.5,"[[4, 0], [2, 2]]",False,0.75,"[6, 2]"
22,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,12,0.78125,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
22,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,2,0.78125,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
22,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,0,0.8125,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
22,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",4,2,0.84375,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
23,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,8,0.875,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
23,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,2,0.78125,0.75,0.75,1.0,0.5,"[[4, 0], [2, 2]]",False,0.75,"[6, 2]"
23,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,2,0.8125,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
23,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,5,0.8125,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
23,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,1,0.8125,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
24,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,5,0.78125,0.25,0.25,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]"
24,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,17,0.78125,0.625,0.625,1.0,0.25,"[[4, 0], [3, 1]]",False,0.875,"[7, 1]"
24,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,5,0.75,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
24,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,8,0.71875,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
24,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,0,0.75,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
25,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,7,0.75,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
25,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",1,12,0.8125,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
25,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",5,11,0.8125,0.25,0.25,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]"
25,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,12,0.75,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
25,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,18,0.8125,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
26,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,13,0.71875,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
26,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",5,1,0.78125,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
26,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",4,10,0.8125,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
26,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",6,0,0.75,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
26,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,3,0.75,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
27,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,6,0.75,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
27,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,13,0.71875,0.25,0.25,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]"
27,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,14,0.78125,0.25,0.25,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]"
27,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",4,1,0.78125,0.625,0.625,1.0,0.25,"[[4, 0], [3, 1]]",False,0.875,"[7, 1]"
27,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,5,0.6875,0.375,0.375,0.0,0.75,"[[0, 4], [1, 3]]",False,0.875,"[1, 7]"
28,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,11,0.75,0.75,0.75,0.5,1.0,"[[2, 2], [0, 4]]",False,0.75,"[2, 6]"
28,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,15,0.84375,0.375,0.375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]"
28,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,13,0.75,0.625,0.625,1.0,0.25,"[[4, 0], [3, 1]]",False,0.875,"[7, 1]"
28,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,11,0.8125,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
28,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,2,0.8125,0.625,0.625,0.25,1.0,"[[1, 3], [0, 4]]",False,0.875,"[1, 7]"
29,0,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,13,0.78125,0.375,0.375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]"
29,1,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",2,9,0.8125,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
29,2,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",0,14,0.78125,0.5,0.5,0.75,0.25,"[[3, 1], [3, 1]]",False,0.75,"[6, 2]"
29,3,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",5,6,0.75,0.375,0.375,0.25,0.5,"[[1, 3], [2, 2]]",False,0.625,"[3, 5]"
29,4,sjepa_5fold,twfb,weighted,fgmdm,32,8,"[4, 4]",3,5,0.8125,0.25,0.25,0.25,0.25,"[[1, 3], [3, 1]]",False,0.5,"[4, 4]"
