subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.375,0.375,"[3, 5]",0.625,False,1,0.12932001,0.02011332,0.10835548,True,0.50746763,0.99975363,2170
1,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00984221,0.00120157,0.00824665,True,0.50753523,0.99981838,2170
1,3,0.5,0.5,"[2, 6]",0.75,False,1,0.00430799,0.00040001,0.0036096,True,0.50459761,0.99992463,2170
1,4,0.625,0.625,"[3, 5]",0.625,False,1,0.10258302,0.02073477,0.08595292,True,0.50434358,0.99991419,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00430804,0.00040001,0.00360965,True,0.50719909,0.9998265,2170
2,1,0.625,0.625,"[5, 3]",0.625,False,0,0.15832092,0.02200695,0.13265495,True,0.51775987,0.9987575,2170
2,2,0.875,0.875,"[5, 3]",0.625,False,0,0.13167441,0.02110586,0.1103282,True,0.51577112,0.99900001,2170
2,3,0.625,0.625,"[1, 7]",0.875,False,1,0.14414295,0.02128869,0.12077542,True,0.52561153,0.99760777,2170
2,4,0.875,0.875,"[5, 3]",0.625,False,0,0.14195025,0.02212054,0.11893818,True,0.51295888,0.9992288,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.04896421,0.00604098,0.04102645,True,0.50581724,0.99982066,2170
3,1,0.375,0.375,"[5, 3]",0.625,False,0,0.16023735,0.02237827,0.13426069,True,0.51548915,0.99889633,2170
3,2,0.625,0.625,"[3, 5]",0.625,False,1,0.14993463,0.02226397,0.12562818,True,0.51583295,0.99882982,2170
3,3,0.625,0.625,"[1, 7]",0.875,False,1,0.15639813,0.02254518,0.13104387,True,0.5179361,0.99838176,2170
3,4,0.625,0.625,"[5, 3]",0.625,False,0,0.14798352,0.02294371,0.12399338,True,0.51852746,0.99870417,2170
3,5,0.875,0.875,"[3, 5]",0.625,False,1,0.15163019,0.02284171,0.12704887,True,0.51014145,0.99959852,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00430794,0.0004,0.00360956,True,0.50467135,0.99991187,2170
4,2,0.625,0.625,"[3, 5]",0.625,False,1,0.1202207,0.02095965,0.10073129,True,0.50637509,0.99979189,2170
4,3,0.5,0.5,"[2, 6]",0.75,False,1,0.11393422,0.01986653,0.09546393,True,0.50979272,0.99962291,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,0.11289468,0.02063142,0.09459291,True,0.51128663,0.99956327,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00430794,0.00040001,0.00360956,True,0.50768863,0.99981453,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00430799,0.0004,0.0036096,True,0.50517085,0.99990944,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00430796,0.0004,0.00360958,True,0.50524499,0.99990538,2170
5,3,0.375,0.375,"[1, 7]",0.875,False,1,0.138563,0.02159875,0.11610006,True,0.50918403,0.99971821,2170
5,4,0.5,0.5,"[2, 6]",0.75,False,1,0.14298331,0.02104805,0.11980378,True,0.50558957,0.99989781,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00430726,0.0004,0.00360899,True,0.50679925,0.99985096,2170
6,1,0.625,0.625,"[5, 3]",0.625,False,0,0.15135889,0.021671,0.12682156,True,0.50689169,0.99980458,2170
6,2,0.5,0.5,"[4, 4]",0.5,False,0,0.14212725,0.02167219,0.11908649,True,0.50694934,0.99980395,2170
