subject_id,mean_accuracy,mean_balanced_accuracy,std_balanced_accuracy,n_folds,n_collapsed_folds
1,0.575,0.575,0.18708286933869706,5,0
2,0.425,0.425,0.06123724356957945,5,0
3,0.525,0.525,0.09354143466934853,5,0
4,0.525,0.525,0.1224744871391589,5,0
5,0.475,0.475,0.16583123951777,5,0
6,0.325,0.325,0.12747548783981963,5,1
7,0.775,0.775,0.1457737973711325,5,0
8,0.45,0.45,0.15000000000000002,5,0
9,0.625,0.625,0.13693063937629152,5,0
10,0.575,0.575,0.1695582495781317,5,0
11,0.525,0.525,0.18371173070873836,5,0
12,0.525,0.525,0.1224744871391589,5,1
13,0.5,0.5,0.13693063937629152,5,0
14,0.475,0.475,0.16583123951777,5,0
15,0.475,0.475,0.1457737973711325,5,0
16,0.675,0.675,0.15,5,0
17,0.375,0.375,0.07905694150420949,5,0
18,0.575,0.575,0.1695582495781317,5,0
19,0.475,0.475,0.09354143466934853,5,0
20,0.675,0.675,0.09999999999999999,5,0
21,0.575,0.575,0.15,5,0
22,0.7,0.7,0.1274754878398196,5,0
23,0.55,0.55,0.1,5,0
24,0.475,0.475,0.1224744871391589,5,0
25,0.45,0.45,0.1,5,0
26,0.6,0.6,0.09354143466934853,5,0
27,0.55,0.55,0.15,5,0
28,0.625,0.625,0.07905694150420949,5,0
29,0.725,0.725,0.1457737973711325,5,0
30,0.6,0.6,0.1457737973711325,5,0
31,0.625,0.625,0.07905694150420949,5,0
32,0.525,0.525,0.09354143466934853,5,0
33,0.475,0.475,0.1457737973711325,5,0
34,0.725,0.725,0.1224744871391589,5,0
35,0.625,0.625,0.11180339887498948,5,0
36,0.65,0.65,0.1224744871391589,5,0
37,0.525,0.525,0.09354143466934853,5,1
38,0.575,0.575,0.203100960115899,5,0
39,0.4,0.4,0.09354143466934853,5,0
40,0.525,0.525,0.1457737973711325,5,0
41,0.5,0.5,0.07905694150420949,5,0
42,0.4,0.4,0.09354143466934853,5,0
43,0.625,0.625,0.2091650066335189,5,0
44,0.525,0.525,0.049999999999999996,5,0
45,0.425,0.425,0.1,5,0
46,0.5,0.5,0.1767766952966369,5,0
47,0.5,0.5,0.13693063937629152,5,0
48,0.475,0.475,0.09354143466934853,5,0
49,0.475,0.475,0.16583123951777,5,0
50,0.375,0.375,0.07905694150420949,5,0
