subject,n_trials,cov_source,twfb_leaky,twfb_honest_acc,twfb_honest_bacc,fixed_8_12,fixed_9_13,fixed_10_14,fixed_11_15,fixed_12_16,fixed_13_17,fixed_14_18,fixed_15_19,fixed_16_20,fixed_17_21,fixed_18_22,fixed_19_23,fixed_20_24,fixed_21_25,fixed_22_26,fixed_23_27,fixed_24_28,fixed_25_29,fixed_26_30
1,40,cache,0.85,0.45,0.45,0.35,0.3875,0.4875,0.525,0.475,0.45,0.5,0.5,0.55,0.575,0.525,0.4625,0.425,0.425,0.4125,0.5,0.5125,0.4625,0.475
2,40,cache,0.75,0.4375,0.4375,0.4375,0.4125,0.4375,0.625,0.675,0.65,0.4875,0.4625,0.5375,0.5625,0.55,0.6125,0.45,0.475,0.4625,0.425,0.425,0.5,0.6125
3,40,cache,0.775,0.6125,0.6125,0.475,0.4875,0.55,0.525,0.4625,0.5,0.575,0.4625,0.4125,0.45,0.5125,0.5,0.5875,0.5375,0.4875,0.425,0.45,0.5625,0.5375
4,40,cache,0.7875,0.525,0.525,0.4625,0.575,0.6875,0.6375,0.7,0.5875,0.475,0.4875,0.4875,0.425,0.4125,0.425,0.45,0.475,0.5,0.425,0.4375,0.45,0.3875
5,40,cache,0.8375,0.475,0.475,0.575,0.6375,0.55,0.525,0.55,0.4375,0.3375,0.475,0.4,0.4,0.4875,0.5,0.5875,0.5875,0.6375,0.575,0.525,0.4625,0.4625
6,40,cache,0.7625,0.5125,0.5125,0.4625,0.475,0.5375,0.475,0.4875,0.4875,0.475,0.5,0.5875,0.575,0.5,0.5,0.45,0.4625,0.375,0.45,0.375,0.5,0.575
7,40,cache,0.825,0.525,0.525,0.725,0.65,0.65,0.575,0.5625,0.525,0.475,0.575,0.6375,0.675,0.7125,0.6125,0.6125,0.7125,0.825,0.7125,0.6875,0.7,0.7
8,40,cache,0.7875,0.5125,0.5125,0.3875,0.5,0.5375,0.5,0.5125,0.55,0.375,0.425,0.425,0.475,0.575,0.5625,0.475,0.4875,0.4625,0.5125,0.5375,0.65,0.475
9,40,cache,0.7875,0.5,0.5,0.5,0.5875,0.6875,0.6125,0.45,0.4,0.4625,0.4625,0.5125,0.5375,0.5375,0.5625,0.55,0.55,0.4875,0.4625,0.525,0.375,0.35
10,40,cache,0.8,0.475,0.475,0.6625,0.6,0.5125,0.6625,0.6375,0.625,0.575,0.5125,0.525,0.55,0.525,0.575,0.575,0.45,0.4125,0.5625,0.5625,0.5875,0.675
11,40,cache,0.7625,0.5125,0.5125,0.575,0.65,0.65,0.575,0.5,0.5875,0.5625,0.5,0.6,0.55,0.5375,0.575,0.65,0.6375,0.55,0.475,0.425,0.35,0.3375
12,40,cache,0.7625,0.475,0.475,0.4375,0.45,0.5125,0.55,0.5625,0.5375,0.5,0.425,0.475,0.5,0.5875,0.6,0.575,0.5625,0.5375,0.4625,0.425,0.4875,0.5
13,40,cache,0.825,0.475,0.475,0.55,0.65,0.5,0.475,0.425,0.325,0.375,0.425,0.5375,0.4625,0.3875,0.5,0.6,0.7125,0.6375,0.575,0.5625,0.5125,0.5625
14,40,cache,0.7625,0.45,0.45,0.4875,0.5375,0.5,0.5375,0.45,0.4875,0.525,0.5,0.5125,0.5125,0.5125,0.4375,0.4,0.325,0.3625,0.375,0.3625,0.4375,0.4375
15,40,cache,0.775,0.55,0.55,0.55,0.45,0.55,0.6,0.5,0.6,0.6625,0.6,0.525,0.4375,0.6,0.55,0.4125,0.425,0.3625,0.4,0.475,0.4375,0.4375
16,40,cache,0.75,0.5,0.5,0.3625,0.3125,0.25,0.3,0.4,0.475,0.575,0.5125,0.325,0.4375,0.45,0.4625,0.4625,0.4,0.425,0.525,0.5625,0.4625,0.375
17,40,cache,0.775,0.45,0.45,0.6,0.4875,0.45,0.5125,0.5,0.425,0.375,0.4125,0.4625,0.475,0.375,0.45,0.5625,0.5375,0.55,0.425,0.4375,0.4375,0.45
18,40,cache,0.8375,0.6375,0.6375,0.5,0.475,0.5125,0.375,0.3875,0.5375,0.5625,0.6125,0.5625,0.4875,0.5,0.6125,0.625,0.6375,0.5625,0.575,0.4625,0.475,0.4125
